home_parkrun,home_event,prev_event_no,prev_date,next_event_no,next_date,cancellation_date,runner_id,gap_week_parkrun,gap_week_short
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,256896,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,265199,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,2724902,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,2822497,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,2910302,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,2943690,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,3065540,Wythenshawe,wythenshawe
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,3413447,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,365429,Wythenshawe,wythenshawe
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,3713797,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,3795603,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,3799646,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,4145879,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,416839,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,42465,Rotherham,rotherham
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,4321643,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,453626,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,460807,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,4661314,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,4779352,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,4953563,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,5016320,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,508653,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,51586,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,5264910,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,547051,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,559777,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,5625311,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,579843,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,5832363,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,5832377,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,6244012,Wythenshawe,wythenshawe
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,6431885,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,6436955,Faelledparken,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,6889195,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,6935539,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,7007327,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,7049046,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,709422,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,7410269,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,7410274,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,7473884,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,7529763,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,756357,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,7745477,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,7745480,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,7875291,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,7920173,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,8214535,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,8267601,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,8273637,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,8273750,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,8380127,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,8482689,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,8843773,Wythenshawe,wythenshawe
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,8985588,Did not run,NA
